Synset,Children,Lemmas,Definitions,Hypernym Lemma,Hypernym ID
01566925-v,24,"destroy, ruin","destroy completely; damage irreparably",,
01383303-v,24,"gather, garner, collect, pull together","assemble or get together",,
02458316-v,23,"prevent, forestall, foreclose, preclude, forbid","keep from happening or arising; make impossible",,
02529837-v,23,"succeed, win, come through, bring home the bacon, deliver the goods","attain success or reach a desired goal",,
02615799-v,23,"end, stop, finish, terminate, cease","have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical",,
02636270-v,23,"have, feature","have as a feature",,
02183962-v,23,"sound","cause to sound",,
01013752-v,23,"affirm","say yes to",,
01821097-v,23,"displease","give displeasure to",,
01829179-v,22,"desire, want","feel or have a desire for; want strongly",,
02009962-v,22,"arrive, get, come","reach a destination; arrive by movement or progress",,
01318273-v,22,"search, seek, look for","try to locate or discover, or try to establish the existence of",,
01032165-v,22,"designate, denominate","assign a name or title to",,
01846997-v,21,"travel, trip, jaunt","make a trip for pleasure",,
00001740-v,21,"breathe, take a breath, respire, suspire","draw air into, and expel out of, the lungs",,
02409366-v,20,"remove","remove from a position or an office",,
01806476-v,20,"express emotion, express feelings","give verbal or other expression to one's feelings",,
00933814-v,20,"mean, intend, signify, stand for","denote or connote",,
02149298-v,19,"hide, conceal","prevent from being seen or discovered",,
02687605-v,18,"keep, maintain, hold","cause to continue in a certain state, position, or activity",,
00920843-v,18,"determine, find, find out, ascertain","establish after a calculation, investigation, experiment, survey, or study",,
01549783-v,18,"lie","be lying, be prostrate; be in a horizontal position",,
02154940-v,18,"watch","look attentively",,
01399864-v,18,"beat, beat up, work over","give a beating to; subject to a beating, either as a punishment or as an act of aggression",,
02609706-v,17,"exist, be","have an existence, be extant",,
02639021-v,17,"include","have as a part, be made up out of",,
02505278-v,16,"punish, penalize, penalise","impose a penalty on; inflict punishment on",,
01170802-v,16,"eat","take in solid food",,
01477180-v,16,"let go of, let go, release, relinquish","release, as from one's grip",,
02492581-v,15,"meet, get together","get together socially or for a specific purpose",,
00234091-v,15,"restrict, trammel, limit, bound, confine, throttle","place limits on (extent or amount or access)",,
02773266-v,15,"emit, give out, give off","give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.",,
01219234-v,15,"hold, take hold","have or hold in one's hands or grip",,
02035003-v,15,"separate, divide","make a division or separation",,
01122487-v,14,"assail, assault, set on, attack","attack someone physically or emotionally",,
02620422-v,14,"live","lead a certain kind of life; live in a certain style",,
02024442-v,14,"reach, make, attain, hit, arrive at, gain","reach a destination, either real or abstract",,
01113439-v,14,"gain, advance, win, pull ahead, make headway, get ahead, gain ground","obtain advantages, such as points, etc.",,
02427126-v,13,"free, discharge","free from obligations or duties",,
02629610-v,13,"become","come into existence",,
02672316-v,13,"differ","be different",,
01863207-v,13,"stop","cause to end",,
02120261-v,13,"sensitize, sensitise","cause to sense; make sensitive",,
01079008-v,13,"move, go","have a turn; make one's move in a game",,
00346415-v,13,"get down, begin, get, start out, start, set about, set out, commence","take the first step or steps in carrying out an action",,
01219607-v,13,"hold, support, sustain, hold up","be the physical support of; carry the weight of",,
00909100-v,13,"complain, kick, plain, sound off, quetch, kvetch","express complaints, discontent, displeasure, or unhappiness",,
02686624-v,12,"discontinue, stop, cease, give up, quit, lay off","put an end to a state or an activity",,
01604155-v,12,"hold, carry, bear","support or hold in a certain manner",,
00845147-v,12,"charge, accuse","blame for, make a claim of wrongdoing or misbehavior against",,
02769698-v,12,"shine, beam","emit light; be bright, as of the sun or a light",,
01347791-v,12,"close, shut","move so that an opening or passage is obstructed; make shut",,
01348685-v,12,"open, open up","cause to open or to become open",,
02714280-v,11,"spend, pass","use up a period of time in a specific way",,
