06383357-n,Arthurian legend,the legend of King Arthur and his court at Camelot
09592271-n,Proteus,(Greek mythology) a prophetic god who served Poseidon; was capable of changing his shape at will
09592838-n,Procrustes,"(Greek mythology) a mythical giant who was a thief and murderer; he would capture people and tie them to an iron bed, stretching them or hacking off their legs to make them fit; was killed by Theseus"
09593243-n,Phaethon,(Greek mythology) son of Helios; killed when trying to drive his father's chariot and came too close to earth
09595092-n,Orpheus,(Greek mythology) a great musician; when his wife Eurydice died he went to Hades to get her back but failed
09596860-n,Zeus,(Greek mythology) the supreme god of ancient Greek mythology; son of Rhea and Cronus whom he dethroned; husband and brother of Hera; brother of Poseidon and Hades; father of many gods; counterpart of Roman Jupiter
09597404-n,"Jupiter Fulgur, Jupiter Fulminator, Lightning Hurler","an epithet for Jupiter, indicating his quality as the bringer of lightning"
09597528-n,"Jupiter Tonans, Thunderer","an epithet for Jupiter, indicating his quality of being the bringer of thunder"
09597624-n,"Jupiter Pluvius, Rain-giver","an epithet for Jupiter, indicating his quality of bringing rain"
09597722-n,"Jupiter Optimus Maximus, Best and Greatest","an epithet for Jupiter, indicating his quality of being venerated throughout the Roman Empire"
09597835-n,"Jupiter Fidius, Protector of Boundaries","an epithet for Jupiter, indicating his quality of being a guarantor of good faith"
09598104-n,Cocus,"(Greek mythology) one of the Titans, fathered Asteria and Leto by his sister, Phoebe"
09598726-n,Atlas,(Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders
09598879-n,Epimetheus,(Greek mythology) brother of Prometheus; despite Prometheus's warning against gifts from Zeus he accepted Pandora as his wife
09599080-n,Prometheus,(Greek mythology) the Titan who stole fire from Olympus and gave it to mankind; Zeus punished him by chaining him to a rock where an eagle gnawed at his liver until Hercules rescued him
09600779-n,Psyche,(Greek mythology) a beautiful princess loved by Cupid who visited her at night and told her she must not try to see him; became the personification of the soul
09601183-n,"Hercules, Heracles, Herakles, Alcides",(classical mythology) a hero noted for his strength; performed 12 immense labors to gain immortality
09602665-n,"Balder, Baldr",(Norse mythology) god of light and peace and noted for his beauty and sweet nature; son of Odin and Frigg and husband of Nanna; killed by Hoth
09604303-n,"Hoth, Hothr, Hoder, Hodr, Hodur","(Norse mythology) a blind god; misled by Loki, he kills his brother Balder by throwing a shaft of mistletoe"
09606124-n,Odin,(Norse mythology) ruler of the Aesir; supreme god of war and poetry and knowledge and wisdom (for which he gave an eye) and husband of Frigg; identified with the Teutonic Wotan
09606496-n,Sigyn,(Norse mythology) wife of Loki; held a cup over him during his punishment to spare him the pain of drops of poison
09607063-n,"Ull, Ullr",(Norse mythology) one of the Aesir known for his beauty and skill with bow and skis; son of Sif and stepson of Thor
09607393-n,"Vitharr, Vithar, Vidar",(Norse mythology) one of the Aesir; son of Odin; avenges his parent by slaying Fenrir at Ragnarok
09608108-n,Ymir,(Norse mythology) the primeval giant slain by Odin and his brothers and from whose body they created the world: the sea from his blood; the earth from his flesh; the mountains from his bones; the sky from his skull
09612618-n,Aladdin,in the Arabian Nights a boy who acquires a magic lamp from which he can summon a genie
09613170-n,Beowulf,the legendary hero of an anonymous Old English epic poem composed in the early 8th century; he slays a monster and becomes king but dies fighting a dragon
